Seaguard RCM SW
Product number:	4430
Serial number:	1705

		System Parameters(0)				Temperature #835(835)	Optode #492(492)			Conductivity #1306(1306)		Doppler Current Sensor #723(723)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Temperature(Deg.C)	O2Concentration(uM)	AirSaturation(%)	Temperature(Deg.C)	Conductivity(mS/cm)	Temperature(Deg.C)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Strength X(dB)	Strength Y(dB)
200	05.04.25 04:00:00	6.786	8994816	1199993	0.000	-1.782	439.786	91.504	-1.779	27.329	-1.776	0.233	257.078	-0.052	-0.227	20.930	1.720	2.588	4.650	-38.217	100	3.108	3.237	0.045	-38.426	-38.008
201	05.04.25 04:20:00	6.786	8994816	1199994	0.000	-1.780	439.630	91.474	-1.778	27.329	-1.782	0.763	359.288	0.763	-0.009	18.893	1.758	2.609	4.698	-37.049	100	3.146	3.254	0.047	-37.541	-36.558
202	05.04.25 04:40:00	6.780	8994816	1199994	0.000	-1.780	439.943	91.539	-1.778	27.330	-1.780	0.898	312.252	0.604	-0.665	22.110	1.745	2.594	4.676	-37.369	100	3.127	3.276	0.047	-37.297	-37.441
203	05.04.25 05:00:00	6.792	8994816	1199994	0.000	-1.781	440.013	91.556	-1.777	27.332	-1.784	1.009	172.737	-1.001	0.128	19.722	1.772	2.605	4.464	-37.969	100	3.150	3.278	0.046	-37.914	-38.024
204	05.04.25 05:20:00	6.780	8994816	1199993	0.000	-1.780	439.961	91.546	-1.776	27.332	-1.769	1.073	195.097	-1.036	-0.279	10.214	1.817	2.641	4.666	-37.952	100	3.206	3.363	0.067	-38.139	-37.765
205	05.04.25 05:40:00	6.780	8994816	1199993	0.000	-1.773	440.244	91.621	-1.771	27.341	-1.767	2.526	205.429	-2.281	-1.085	12.347	1.782	2.634	4.778	-37.661	100	3.180	3.272	0.040	-37.942	-37.381
206	05.04.25 06:00:00	6.786	8994816	1199994	0.000	-1.767	440.447	91.675	-1.766	27.345	-1.778	1.316	201.682	-1.223	-0.486	13.200	1.769	2.621	4.338	-37.418	100	3.162	3.337	0.062	-37.862	-36.974
207	05.04.25 06:20:00	6.786	8994816	1199994	0.000	-1.762	441.084	91.833	-1.757	27.355	-1.755	3.082	171.364	-3.047	0.463	2.555	1.839	2.650	4.159	-37.156	100	3.227	3.386	0.068	-37.444	-36.868
208	05.04.25 06:40:00	6.786	8994816	1199994	0.000	-1.750	440.391	91.710	-1.749	27.367	-1.740	3.850	178.261	-3.848	0.117	9.036	1.780	2.594	4.580	-37.422	100	3.147	3.354	0.098	-37.413	-37.431
209	05.04.25 07:00:00	6.780	8994816	1199994	0.000	-1.747	441.519	91.961	-1.743	27.369	-1.742	1.397	62.685	0.641	1.242	19.390	1.717	2.577	4.465	-36.902	100	3.097	3.198	0.043	-37.197	-36.607
210	05.04.25 07:20:00	6.780	8994816	1199994	0.000	-1.750	440.945	91.837	-1.745	27.367	-1.752	3.040	114.129	-1.243	2.775	19.466	1.717	2.546	4.779	-36.732	100	3.071	3.206	0.062	-37.035	-36.430
211	05.04.25 07:40:00	6.780	8994816	1199994	0.000	-1.745	440.452	91.744	-1.741	27.368	-1.748	2.922	164.960	-2.821	0.758	13.157	1.797	2.527	4.665	-37.787	100	3.101	3.232	0.057	-38.057	-37.517
212	05.04.25 08:00:00	6.786	8994816	1199994	0.000	-1.751	440.981	91.850	-1.743	27.363	-1.752	3.117	183.174	-3.112	-0.173	4.810	1.932	2.518	4.423	-38.160	100	3.174	3.347	0.062	-38.454	-37.866
213	05.04.25 08:20:00	6.786	8994816	1199994	0.000	-1.766	440.322	91.669	-1.759	27.347	-1.753	4.041	185.823	-4.020	-0.410	1.968	1.933	2.543	4.339	-37.421	100	3.195	3.315	0.053	-37.571	-37.270
214	05.04.25 08:40:00	6.786	8994816	1199994	0.000	-1.784	438.611	91.256	-1.780	27.329	-1.769	4.526	193.623	-4.398	-1.066	357.309	2.036	2.644	4.407	-37.272	100	3.339	3.551	0.078	-37.539	-37.006
215	05.04.25 09:00:00	6.780	8994816	1199994	0.000	-1.783	438.131	91.156	-1.780	27.329	-1.786	5.466	178.682	-5.465	0.126	352.539	2.152	2.747	4.406	-36.761	100	3.492	3.702	0.088	-36.790	-36.731
216	05.04.25 09:20:00	6.774	8994816	1199994	0.000	-1.780	438.239	91.186	-1.777	27.333	-1.791	5.984	192.872	-5.834	-1.333	344.637	2.165	2.755	4.411	-37.153	100	3.507	3.688	0.080	-37.355	-36.952
217	05.04.25 09:40:00	6.786	8994816	1199993	0.000	-1.766	438.648	91.298	-1.767	27.346	-1.774	4.242	176.988	-4.236	0.223	348.692	2.064	2.601	4.845	-37.450	100	3.321	3.478	0.078	-37.651	-37.250
218	05.04.25 10:00:00	6.786	8994816	1199994	0.000	-1.765	439.351	91.457	-1.763	27.347	-1.784	4.306	196.313	-4.133	-1.210	337.466	2.178	2.738	4.183	-37.375	100	3.501	3.699	0.081	-37.408	-37.343
219	05.04.25 10:20:00	6.780	8994816	1199994	0.000	-1.763	440.155	91.641	-1.756	27.350	-1.744	6.268	192.013	-6.131	-1.305	338.019	2.147	2.701	5.087	-37.383	100	3.452	3.606	0.075	-37.571	-37.195
220	05.04.25 10:40:00	6.774	8994816	1199994	0.000	-1.778	439.365	91.443	-1.769	27.334	-1.755	0.926	160.899	-0.875	0.303	355.072	1.840	2.526	4.717	-37.271	100	3.125	3.213	0.039	-37.688	-36.854
221	05.04.25 11:00:00	6.774	8994816	1199994	0.000	-8.517	498.821	91.561	-5.894	-0.061	-6.802	322.866	280.569	59.222	-317.388	129.755	-48.873	-41.808	1811.449	-65.610	21	87.422	90.000	5.481	-66.126	-65.093
222	05.04.25 11:20:00	6.750	8994816	1199994	0.000	-10.790	538.012	88.714	-9.175	-0.044	-9.317	254.477	107.248	-75.456	243.033	263.830	35.709	54.454	999.119	-71.815	37	87.564	90.000	3.778	-71.828	-71.802
223	05.04.25 11:40:00	6.738	8994816	1199993	0.000	-1.989	493.811	106.626	-0.497	0.060	-3.643	0.000	0.000	0.000	0.000	319.011	-11.267	-80.140	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
224	05.04.25 12:00:00	6.750	8994816	1199993	0.000	6.165	393.028	101.675	6.230	-0.025	5.929	298.168	26.570	266.679	133.366	110.302	-12.736	-77.494	3226.477	-71.758	41	89.056	90.000	1.308	-71.827	-71.688
225	05.04.25 12:20:00	6.792	8994816	1199994	0.000	7.958	393.357	105.656	7.740	-0.023	7.705	26.138	3.996	26.075	1.821	124.448	-0.938	-0.578	90.258	-71.498	100	1.107	1.294	0.071	-71.600	-71.397
226	05.04.25 12:40:00	6.815	8994816	1199993	0.000	10.311	374.674	105.287	9.610	-0.022	9.562	30.792	144.869	-25.183	17.719	129.440	-0.848	-0.527	85.783	-71.576	100	1.004	1.235	0.066	-71.630	-71.523
