"Series Data"
"C:\Users\MarcosP\Desktop\DPL1_000.000"
"Broadband 614.4 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 25/04/02"
"First Ensemble Time = 14:58:02.53"
"Ensemble Interval (s) = "	1200.00
"1st Bin Range (m) = "	3.07
"Bin Size (m) ="	2.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"
38	25	04	03	03	18	02	53		10	11	10	1	5	5	-1	-2	-7	-22	-23	-25	-4	-46										-15	-27	-87	-88	-93	-86	-88	-86	-84	-71	-72	-71	-61	-65	-35	-13										17	-63	0	-1	-1	0	2	2	0	2	2	0	1	-2	-6	-1										-8	8	1	1	0	-1	3	-2	4	4	-2	2	-5	-14	0	-78												88	89	94	86	88	86	84	71	72	74	65	70	35	48										23	69	173.40	172.90	173.90	179.30	176.70	176.70	180.70	181.60	185.60	197.20	200.70	201.00	186.50	254.20										318.60	203.20
39	25	04	03	03	38	02	53		14	7	5	-5	5	-9	-14	-19	-15	-24	-26	-26	-46	2										-20	-73	-102	-85	-92	-90	-88	-94	-88	-84	-89	-85	-90	-76	-69	-68										73	8	3	2	3	3	3	2	4	3	2	3	6	3	-3	13										-3	13	0	-6	-4	-2	2	2	-1	3	-12	11	3	-3	4													103	85	92	90	88	94	89	86	90	88	94	80	83	68										76	73	172.20	175.30	176.90	183.20	176.70	185.50	189.00	192.70	189.60	195.80	196.10	198.90	213.70	178.30										344.70	276.30
40	25	04	03	03	58	02	53		7	2	1	2	0	-3	-6	-8	-12	-15	1	-15	-26	-9										-6	-27	-95	-101	-100	-93	-87	-89	-89	-80	-78	-81	-77	-90	-70	-104										90	37	2	1	2	4	3	3	3	4	4	4	5	2	4	1										5	7	-5	5	6	3	5	1	-3	-8	1	3	10	-12	6													95	101	100	93	87	89	89	80	79	82	77	91	75	104										90	46	175.80	178.90	179.40	178.80	180.00	181.90	183.90	185.70	188.70	190.50	179.30	189.50	200.40	184.90										356.20	323.90
41	25	04	03	04	18	02	53		15	10	5	4	-2	-11	-6	-18	-14	-9	-20	-16	6	-29									-91	-22	67	-96	-96	-95	-96	-92	-88	-86	-77	-69	-71	-73	-79	-67	-24									-31	48	2	0	1	0	0	0	-1	-2	0	-2	-1	0	0	-1	-10									9	1	0	-3	0	2	4	-4	-3	-2	1	-6	8	-6	-17	-4													97	97	95	96	92	89	86	79	70	72	76	81	67	38									96	53	67	171.10	174.10	177.00	177.60	181.20	187.10	184.00	193.20	191.50	187.20	195.30	191.40	174.90	230.40									251.20	335.40	88.30
42	25	04	03	04	38	02	53		-1	12	7	-6	-7	-5	-6	-5	-2	-13	-14	-16	-28	50									-81	-20	64	-107	-101	-101	-89	-98	-83	-80	-74	-66	-62	-70	-57	-72	47									26	-40	11	0	0	-1	1	0	1	1	-1	0	0	0	0	1	23									0	6	29	4	-1	0	-1	-1	5	-1	7	1	7	-2	0	23													107	102	101	89	98	83	80	74	66	63	71	59	77	69									85	45	65	180.50	173.20	176.00	183.90	184.10	183.40	184.30	183.90	181.70	191.80	191.30	195.70	201.30	46.80									287.80	206.60	80.20
43	25	04	03	04	58	02	53		15	4	-6	2	2	-8	-6	-12	-13	-11	-7	-2	-18	-29									-19	15	29	-99	-104	-94	-99	-96	-79	-75	-70	-59	-65	-61	-59	-64	-109									63	22	-92	2	1	1	1	1	2	3	1	1	1	1	-2	-2	-5									-14	8	-6	1	1	0	7	2	-1	-6	2	4	3	-3	-7	4	87												100	104	94	99	96	79	75	71	60	66	61	59	66	113									66	27	96	171.40	177.80	183.70	178.80	178.80	185.80	184.60	189.70	192.40	189.60	186.50	181.90	195.70	194.90									343.20	34.30	162.50
44	25	04	03	05	18	02	53		2	-6	-2	1	-5	2	-3	-2	-10	-17	-11	-8	7	-67									7	-26		-116	-103	-97	-80	-86	-86	-69	-67	-68	-62	-60	-76	-52	-117									61	-55		3	3	3	2	4	4	3	4	5	5	3	2	4	-11									-11	-1		0	2	7	5	6	-2	0	4	4	8	-4	-6	11													116	103	97	80	86	86	69	67	69	64	61	76	52	135									61	61		179.00	183.30	181.20	179.30	183.30	178.70	182.50	181.70	188.40	195.30	190.40	186.00	172.30	209.80									6.50	205.30	
45	25	04	03	05	38	02	53		-1	-5	-8	1	-3	-8	-7	-5	-10	-21	-19	1	-36										-62		81	-106	-96	-88	-91	-75	-70	-58	-66	-60	-57	-49	-65	-59										7		205	-1	2	1	1	1	3	3	4	1	2	2	1	-3										-2		73	0	3	0	3	0	-2	-9	-4	-1	3	5	-15	9													106	96	88	91	75	70	58	66	61	61	53	65	69										62		220	180.50	183.00	185.20	179.40	182.30	186.50	186.90	184.30	189.50	200.20	201.20	179.10	211.40										276.40		21.60
46	25	04	03	05	58	02	53		-10	-5	-2	-22	-20	-18	-24	-12	-31	-21	-36	-28	-31	-28	-28	-43	-42	-38	-53	-1			-19			-98	-89	-85	-69	-44	-34	-45	-49	-43	-35	-64	-67	-63	-56	-39	-19	-33	-41	-74	-78			0			0	1	0	0	-1	0	-1	-3	2	1	0	0	0	-2	0	6	0	-4	0	-7			-7			6	-9	-6	1	4	-2	6	9	1	9	0	1	26	-17	-1	6	-55	-84	-64							99	89	85	72	48	38	51	50	53	41	73	73	70	63	48	47	53	56	91	78			19			185.80	183.20	181.30	197.70	204.40	207.90	208.10	193.80	215.80	211.00	209.40	202.70	206.20	206.60	215.70	246.20	231.80	222.80	215.60	180.70			270.00		
47	25	04	03	06	18	02	53		-11	-13	-5	-4	9	10	26	21	-22	-5	0	-28	-22	-16	-44								-42			-115	-116	-103	-88	-92	-73	-78	-79	-90	-74	-85	-94	-84	-93	-23								88			-1	0	0	1	0	-1	4	-2	-8	-1	-1	-1	-3	-10	-2								-23			9	0	3	-5	2	-5	-14	-3	16	5	1	12	-7	-5												116	117	103	88	92	74	82	82	93	74	85	98	87	94	50								98			185.50	186.40	182.80	182.60	174.40	172.20	161.60	165.10	193.70	183.90	180.00	196.60	194.70	189.80	242.40								334.50		
48	25	04	03	06	38	02	53		-10	-10	-12	-10	-9	-13	-10	-15	-27	-27	-29	-32	-17	4									-48			-128	-138	-137	-125	-114	-102	-108	-99	-87	-98	-105	-97	-87	-106									31			2	3	3	5	4	4	4	4	3	3	1	3	2	3									-9			4	-3	-2	-3	-5	-5	-4	5	14	3	8	11	-8	18												128	138	138	125	114	103	108	100	91	102	109	102	89	106									57			184.50	184.10	185.00	184.60	184.50	187.30	185.30	188.60	197.20	195.40	195.40	198.30	191.10	177.80									302.90		
49	25	04	03	06	58	02	53		-9	-17	-13	-13	-14	-23	-20	-26	-19	-19	-17	-17	-27	-7									-23			-137	-139	-122	-129	-131	-120	-105	-110	-114	-101	-108	-98	-104	-99									9			2	2	3	5	5	5	6	5	5	7	5	3	2	3									-4			10	0	0	1	-5	-3	1	1	-7	17	2	-12	22	-7												137	140	123	130	132	122	107	113	116	103	109	99	107	99									25			183.80	187.00	186.10	185.80	186.10	190.90	190.80	193.30	189.50	190.70	188.90	189.80	194.60	184.00									291.40		
50	25	04	03	07	18	02	53		-18	-22	-19	-19	-17	-15	-17	-16	-10	-17	-16	-24	-15	67									-33			-121	-119	-114	-111	-106	-113	-101	-106	-96	-80	-95	-93	-80	-83									28			3	3	2	4	4	5	3	5	3	4	5	7	5	7									-12			6	1	9	-3	-2	-7	-1	14	0	8	7	-6	2	-24												122	121	116	113	107	114	102	107	97	82	96	96	81	107									43			188.50	190.50	189.50	189.70	189.10	187.60	189.60	188.60	185.90	192.00	189.60	194.50	190.60	141.10									310.30		
51	25	04	03	07	38	02	53		-29	-28	-26	-20	-18	-24	-23	-16	-22	-9	-21	-30	-23	-25							22		-6			-114	-119	-112	-121	-101	-107	-94	-92	-90	-85	-79	-79	-76	-72							-37		-15			3	3	4	4	3	3	3	4	1	5	4	4	7	-1							20		3			-6	0	0	0	7	7	2	6	2	-10	12	0	-25	20									19			118	122	115	123	103	110	97	93	93	85	82	85	79	76							43		16			194.30	193.20	193.10	189.40	190.10	192.60	193.70	189.90	193.70	186.00	194.90	200.80	196.80	199.10							149.30		201.80		
52	25	04	03	07	58	02	53		-41	-48	-35	-27	-32	-35	-30	-24	-31	-28	-26	-34	-27	0								-69	-18			-108	-112	-105	-108	-108	-105	-97	-89	-72	-75	-76	-59	-53	-32								-231	16			1	5	4	3	3	5	4	2	5	2	4	6	2	9								13	-6			-7	1	-1	6	-4	-3	-2	-6	4	-1	-4	-9	-13	-18									-1			116	122	111	111	113	111	102	92	78	80	80	68	59	32								241	24			200.80	203.20	198.40	194.00	196.50	198.40	197.20	195.10	203.30	200.50	198.90	210.00	207.00	180.00								196.60	311.60		
53	25	04	03	08	18	02	53		-35	-32	-30	-25	-34	-25	-13	-7	-20	-10	-20	-14	-8	-20	-9	99	125	-162					13			-86	-93	-89	-88	-87	-78	-68	-63	-58	-51	-48	-27	-22	-33	-13	11	11	-70					14			1	3	3	5	3	2	4	1	4	5	3	1	-4	-4	-5	-16	-12	-9					4			-4	0	-2	0	7	-1	-4	13	6	5	-4	5	9	39									10			93	98	94	91	93	82	69	63	61	52	52	30	23	39	16	100	125	176					19			202.10	199.00	198.60	195.90	201.30	197.80	190.80	186.30	199.00	191.10	202.60	207.40	200.00	211.20	214.70	83.70	85.00	246.60					42.90		
54	25	04	03	08	38	02	53		-49	-33	-37	-30	-19	-20	-11	-7	-3	-19	-7	-4	-18	-9	22	-8	98	9	34	60	103		-7			-66	-69	-70	-64	-64	-41	-48	-45	-45	-41	-43	-47	-25	3	94	16	-14	-49	-10	2	-28		8			3	3	2	4	3	4	3	6	-2	-1	-3	-1	-9	-5	7	-7	-32	-16	4	-10	-2		-2			2	0	-1	-1	0	5	6	11	3	0	5	3	27	63						13	-40		13			82	76	79	71	67	46	49	46	45	45	44	47	31	9	97	18	99	50	35	60	107		11			216.60	205.60	207.90	205.10	196.50	206.00	192.90	188.80	183.80	204.90	189.20	184.90	215.80	288.40	13.20	333.40	98.10	169.60	106.40	88.10	105.20		318.80		
55	25	04	03	08	58	02	53		-51	-43	-41	-36	-31	-24	-29	-18	-6	-6	-5	1	-3	21				46	44	14	15	38	-23			-37	-43	-50	-43	-43	-41	-44	-33	-28	-27	-18	-16	-33	-33				20	22	29	4	15	59			1	3	2	2	3	3	3	1	0	0	2	-2	-8	-19				-3	-3	4	4	-23	-4			4	-7	1	-1	-7	0	2	3	0	12	3	-2	1						26	-16	29		3			63	61	65	56	53	48	53	38	29	28	19	16	33	39				50	49	32	16	41	63			234.00	225.00	219.40	219.90	215.80	210.30	213.40	208.60	192.10	192.50	195.50	176.40	185.20	147.50				66.50	63.40	25.80	75.10	68.50	338.70		
56	25	04	03	09	18	02	53		-36	-36	-38	-36	-36	-41	-30	-14	-7	-13	-18	1	-6	24		93	1	12	-2	15	10		-15			-32	-31	-36	-32	-32	-26	-25	-16	-7	-9	-8	-5	12	61		87	51	-18	-76	-6	55		41			4	2	5	4	5	8	4	4	4	4	3	-6	1	-4		-19	-10	-5	-20	-7	4		-2			-2	-5	-5	-2	3	-1	2	-10	-9	10	-3	-11	-4	4						1	10		12			48	48	52	48	48	49	39	21	10	16	20	5	13	66		127	51	22	76	16	56		44			228.40	229.30	226.50	228.40	228.40	237.60	230.20	221.20	225.00	235.30	246.00	168.70	333.40	21.50		46.90	1.10	146.30	181.50	111.80	10.30		339.90		
57	25	04	03	09	38	02	53		-21	-32	-33	-36	-29	-17	-21	-15	-5	-4	0	-8	17	33		-40	60	78					23			-7	-15	-14	-24	-16	-5	-9	-14	-3	9	10	10	13	58		-67	60	62					-48			1	1	1	1	1	1	1	1	-2	1	1	-4	-5	14		-36	4	-10					6			7	7	-8	-4	-6	-2	3	0	-10	-3	-15	-8	19					-37					42			22	35	36	43	33	18	23	21	6	10	10	13	21	67		78	85	100					53			251.60	244.90	247.00	236.30	241.10	253.60	246.80	227.00	239.00	336.00	0.00	321.30	52.60	29.60		210.80	45.00	51.50					154.40		
58	25	04	03	09	58	02	53		-31	-30	-22	-29	-24	-13	-12	4	3	-2	1	-1	-6	-52									2			-1	-6	5	9	9	11	16	11	17	3	9	0	18	39									39			-1	-4	-2	-1	-3	-1	-2	-3	-3	-3	-4	-8	-9	1									1			2	2	3	1	-4	-8	1	2	3	3	-1	3	0	37									17			31	31	23	30	26	17	20	12	17	4	9	1	19	65									39			268.20	258.70	282.80	287.20	290.60	310.20	323.10	20.00	10.00	326.30	6.30	270.00	341.60	306.90									2.90		
59	25	04	03	10	18	02	53		-26	-34	-38	-42	-36	-26	-25	-35	-12	-24	-18	-29	-13	13	-58								17			-15	-1	-4	6	5	12	11	11	16	14	24	19	12	-9	-57								6			-4	-2	-3	-2	-5	-5	-4	-5	-6	-4	-4	-3	-3	3	-20								2			2	-5	2	-1	-3	-7	3	0	6	4	6	-14	-14	-56									52			30	34	38	42	36	29	27	37	20	28	30	35	18	16	81								18			240.00	268.30	264.00	278.10	277.90	294.80	293.70	287.40	323.10	300.30	323.10	303.20	312.70	124.70	225.50								70.60		
60	25	04	03	10	38	02	53		-30	-35	-33	-32	-32	-33	-33	-28	-19	-20	1	-4	18	41									-54			1	-1	7	17	10	15	14	23	17	13	18	21	21	-10									39			-2	-3	-2	-2	-2	0	1	-1	-1	-1	0	-3	2	5									-12			5	5	-9	-4	2	1	-8	-3	0	5	-7	17	25	40												30	35	34	36	34	36	36	36	25	24	18	21	28	42									67			271.90	268.40	282.00	298.00	287.40	294.40	293.00	309.40	311.80	303.00	3.20	349.20	40.60	103.70									305.80		
61	25	04	03	10	58	02	53		-25	-23	-21	-24	-23	-26	-25	-16	-21	-17	-17	-10	-2	-36									-23			0	4	9	5	23	16	11	11	14	11	-1	16	29	2									-7			0	0	0	1	0	0	2	1	0	1	0	0	-3	10									-5			-1	-6	4	-3	7	3	3	4	-8	-10	-3	-8	-11	36												25	23	23	25	33	31	27	19	25	20	17	19	29	36									24			270.00	279.90	293.20	281.80	315.00	301.60	293.70	304.50	303.70	302.90	266.60	328.00	356.10	273.20									253.10		
62	25	04	03	11	18	02	53		-24	-25	-10	-15	-18	-11	-5	-8	-6	-8	-16	-4	-8	-36									47			-12	-16	-8	0	6	1	3	14	10	9	-2	6	15	33									-17			2	2	3	2	1	1	0	2	-1	-3	-1	1	-2	-1									17			0	2	4	5	8	4	0	-3	-1	-7	7	3	-6	-10												27	30	13	15	19	11	6	16	12	12	16	7	17	49									50			243.40	237.40	231.30	270.00	288.40	275.20	301.00	330.30	329.00	318.40	262.90	326.30	331.90	312.50									109.90		
63	25	04	03	11	38	02	53		-28	-14	-21	-21	-23	-22	-9	-15	-8	-13	1	1	4	-38									44			-3	5	0	0	-2	4	3	0	5	7	10	1	16	65									-25			0	1	0	-1	0	0	0	-2	-3	-2	-6	-9	-6	-33									9			3	5	5	3	-1	-7	3	-1	-6	4	-4	5	16													28	15	21	21	23	22	9	15	9	15	10	1	16	75									51			263.90	289.70	270.00	270.00	265.00	280.30	288.40	270.00	302.00	298.30	5.70	45.00	14.00	329.70									119.60		
64	25	04	03	11	58	02	53		-25	-29	-24	-18	-26	-22	-14	-11	-6	-9	-4	-15	-33	-41									-69			-6	-6	8	0	4	12	8	9	8	14	27	17	9	50									8			-1	-1	0	-2	-1	-1	-1	-3	-5	-4	-2	-4	-5	-2									-27			-14	-3	-2	-5	-2	0	11	3	13	13	19	-5	5	34												26	30	25	18	26	25	16	14	10	17	27	23	34	65									69			256.50	258.30	288.40	270.00	278.70	298.60	299.70	309.30	323.10	327.30	351.60	318.60	285.30	320.60									276.60		
65	25	04	03	12	18	02	53		-17	-14	-10	-15	-20	-10	-15	-5	-25	-20	-21	-15	-24	-40					-43	49	-1	-30	-31			-7	1	6	4	16	21	13	17	20	16	21	24	9	-19					71	38	42	25	53			-1	-2	0	-1	-1	1	2	0	-2	-1	-2	0	-1	-5					10	-8	-1	7	-4			0	7	4	3	6	-1	2	10	4	-9	-8	-4	-16								3	26				18	14	12	16	26	23	20	18	32	26	30	28	26	44					83	62	42	39	61			247.60	274.10	301.00	284.90	308.70	334.50	310.90	343.60	308.70	308.70	315.00	328.00	290.60	244.60					328.80	52.20	358.60	309.80	329.70		
66	25	04	03	12	38	02	53		-20	-17	-2	-8	-4	-9	-8	-7	-6	-14	-18	-21	-6	-33						40	-12	-19	18			7	-3	3	16	24	21	10	2	12	14	16	17	9	51						29	47	11	-35			-2	-3	-2	2	1	1	2	2	1	1	0	4	1	-1						-1	-1	-3	3			-3	3	-1	4	-2	0	4	-8	6	-10	-4	-2	-3								-21	13				21	17	4	18	24	23	13	7	13	20	24	27	11	61						49	49	22	39			289.30	260.00	326.30	333.40	350.50	336.80	321.30	285.90	333.40	315.00	311.60	309.00	326.30	327.10						54.10	345.70	300.10	152.80		
67	25	04	03	12	58	02	53		-16	-14	-6	-8	3	10	-8	-6	2	-10	-3	10	7	-2									-8			-1	1	8	18	20	30	19	35	23	22	23	16	30	22									53			-3	-3	-3	-4	-4	-5	-3	-4	-3	-3	-3	-7	-1	-5									-11			-1	0	12	8	6	0	-1	0	2	0	-5	5	2	37												16	14	10	20	20	32	21	36	23	24	23	19	31	22									54			266.40	274.10	323.10	336.00	8.50	18.40	337.20	350.30	5.00	335.60	352.60	32.00	13.10	354.80									351.40		
68	25	04	03	13	18	02	53		-13	-13	-15	-14	-10	0	-2	8	13	0	-5	1	-4	-59									-27		52	14	9	0	10	8	10	16	14	17	27	32	32	8	226									42		3	0	2	4	3	1	1	2	1	0	0	2	0	-4	24									-9		36	0	-2	0	5	-2	2	4	0	3	-5	0	1	10													19	16	15	17	13	10	16	16	21	27	32	32	9	234									50		52	317.10	304.70	270.00	305.50	308.70	0.00	352.90	29.70	37.40	0.00	351.10	1.80	333.40	345.40									327.30		86.70
69	25	04	03	13	38	02	53		-15	-8	-6	-8	-3	-4	8	8	9	-5	19	11	12	1									-5			9	13	13	13	12	13	15	17	16	32	20	24	28	4									69			3	4	1	0	2	3	2	2	2	2	2	2	-1	-1									-26			3	1	1	0	0	-5	-2	-5	-6	-7	11	18	1													17	15	14	15	12	14	17	19	18	32	28	26	30	4									69			301.00	328.40	335.20	328.40	346.00	342.90	28.10	25.20	29.40	351.10	43.50	24.60	23.20	14.00									355.90		
70	25	04	03	13	58	02	53		3	-8	-11	-1	7	7	6	14	13	9	21	8	13	18										-21	164	29	29	31	27	19	17	19	18	26	28	29	33	34	41										148	29	-1	-1	0	0	3	3	1	1	5	1	1	1	3	10										28	-10	-2	-1	-6	8	-2	-5	6	-9	-1	-8	3	2	-25													29	30	33	27	20	18	20	23	29	29	36	34	36	45										149	167	5.90	344.60	340.50	357.90	20.20	22.40	17.50	37.90	26.60	17.80	35.90	13.60	20.90	23.70										351.90	80.00
71	25	04	03	14	18	02	53		-7	-2	4	12	3	3	20	15	18	15	17	27	4											-41		11	5	11	18	11	4	19	20	24	21	21	20	39											-47		2	1	4	2	2	2	1	1	2	2	1	0	-2											-1		5	1	-1	3	2	4	-10	-5	2	-11	0	-4	56													13	5	12	22	11	5	28	25	30	26	27	34	39											62		327.50	338.20	20.00	33.70	15.30	36.90	46.50	36.90	36.90	35.50	39.00	53.50	5.90											221.10	
72	25	04	03	14	38	02	53		4	10	12	9	17	12	15	16	20	11	8	16	37											-59		-5	-12	-9	-14	-11	-15	0	-10	-4	2	1	-11	19											25		0	0	0	1	0	0	1	0	3	1	0	2	11											1		6	1	-9	0	8	6	0	-5	-4	3	-2	9	15													6	16	15	17	20	19	15	19	20	11	8	19	42											64		141.30	140.20	126.90	147.30	122.90	141.30	90.00	122.00	101.30	79.70	82.90	124.50	62.80											293.00	
73	25	04	03	14	58	02	53		9	23	20	24	24	21	21	5	8	9	6	8	3	23										2		-18	-9	-15	-15	-9	-12	-22	-20	-24	-24	-15	-13	-8	75										-50		0	0	1	0	0	0	-1	-2	0	-1	-1	0	-1	4										-8		0	4	-6	3	-6	-6	7	8	2	5	-8	16	6													20	25	25	28	26	24	30	21	25	26	16	15	9	78										50		153.40	111.40	126.90	122.00	110.60	119.70	136.30	166.00	161.60	159.40	158.20	148.40	159.40	17.00										177.70	
74	25	04	03	15	18	02	53		21	30	23	24	13	16	15	17	10	15	15	10	22	5										48	-8	-36	-29	-22	-24	-21	-15	-22	-28	-29	-26	-22	-24	-24	-86										-75	14	1	3	3	4	4	4	2	3	3	3	5	3	3	15										-21	16	-1	-1	-1	4	0	-3	-4	-9	-2	10	1	9	-16	7												42	42	32	34	25	22	27	33	31	30	27	26	33	86										89	16	149.70	134.00	133.70	135.00	148.20	133.20	145.70	148.70	161.00	150.00	145.70	157.40	137.50	176.70										147.40	330.30
75	25	04	03	15	38	02	53		26	19	16	18	19	15	12	13	19	7	16	16	13	-5		49								43		-47	-49	-49	-53	-55	-51	-44	-59	-45	-42	-31	-41	-48	-45		-55								-116		3	4	3	4	7	4	6	6	4	5	5	3	1	1		-1								-26		-3	-10	-6	0	5	-3	-7	-5	3	-9	-6	9	8	-49												54	53	52	56	58	53	46	60	49	43	35	44	50	45		74								124		151.00	158.80	161.90	161.20	160.90	163.60	164.70	167.60	157.10	170.50	152.70	158.70	164.80	186.30		138.30								159.70	
76	25	04	03	15	58	02	53		26	20	22	22	28	29	23	20	19	10	4	17	8	-15										-22		-78	-75	-80	-76	-74	-76	-81	-68	-75	-86	-74	-90	-86	-48										-15		2	2	2	2	2	2	3	7	5	5	6	6	3	-9										4		-1	1	13	3	1	-1	1	-9	2	-2	-6	-8	-7	-6												82	78	83	79	79	81	84	71	77	87	74	92	86	50										27		161.60	165.10	164.60	163.90	159.30	159.10	164.10	163.60	165.80	173.40	176.90	169.30	174.70	197.40										235.70	
77	25	04	03	16	18	02	53		34	28	28	27	30	28	22	19	16	4	3	7	10	13										-61	-15	-92	-94	-95	-92	-90	-90	-83	-91	-108	-86	-83	-91	-79	-68										-41	91	0	2	2	4	3	2	2	4	1	2	5	1	2	3										3	21	4	0	-7	2	1	0	-3	-2	8	10	4	-2	1	-16												98	98	99	96	95	94	86	93	109	86	83	91	80	69										73	92	159.70	163.40	163.60	163.60	161.60	162.70	165.20	168.20	171.60	177.30	177.90	175.60	172.80	169.20										236.10	350.60
78	25	04	03	16	38	02	53		45	33	30	34	21	6	21	7	-4	3	4	-2	-8	-29										-41	-62	-85	-91	-91	-97	-93	-83	-88	-77	-80	-70	-72	-81	-65	-41										152	47	2	2	2	2	3	3	2	3	2	2	2	3	1	-13										23	-3	1	7	2	-5	-4	0	-5	-8	2	-11	-4	6	-2	42												96	97	96	103	95	83	90	77	80	70	72	81	65	50										157	78	152.10	160.10	161.80	160.70	167.30	175.90	166.60	174.80	182.90	177.50	176.80	181.40	187.00	215.30										344.90	307.20
79	25	04	03	16	58	02	53		27	24	17	12	6	0	1	-7	-7	-10	-17	-20	-16	-12										-36		-92	-82	-86	-84	-89	-83	-86	-78	-81	-79	-94	-95	-76	-91										32		2	2	4	1	3	3	2	3	5	5	3	5	6	9										10		-1	5	2	2	1	-4	2	-4	5	5	-6	2	2	-40												96	85	88	85	89	83	86	78	81	80	96	97	78	92										48		163.60	163.70	168.80	171.90	176.10	180.00	179.30	185.10	184.90	187.20	190.30	191.90	191.90	187.50										311.60	
80	25	04	03	17	18	02	53		28	24	13	15	2	8	-5	-3	-9	-2	-9	-13	-30	8									0			-91	-93	-91	-89	-88	-102	-94	-107	-92	-120	-96	-105	-95	-81									40			1	2	2	3	2	1	2	2	4	3	10	2	5	2									9			-7	-1	3	-4	5	0	2	3	-3	-1	-2	5	-4	-19												95	96	92	90	88	102	94	107	92	120	96	106	100	81									40			162.90	165.50	171.90	170.40	178.70	175.50	183.00	181.60	185.60	181.00	185.40	187.10	197.50	174.40									0.00		
81	25	04	03	17	38	02	53		30	31	21	16	13	-4	0	1	-3	-6	-15	-11	-17	-29	-20								6			-103	-102	-96	-100	-101	-104	-99	-100	-97	-103	-102	-96	-104	-64	-33								-60			-1	2	1	1	2	4	1	3	3	2	1	2	3	-3	33								2			4	7	-8	-4	0	0	-5	0	0	0	4	-2	0	29												107	107	98	101	102	104	99	100	97	103	103	97	105	70	39								60			163.80	163.10	167.70	170.90	172.70	182.20	180.00	179.40	181.80	183.30	188.40	186.50	189.30	204.40	211.20								174.30		
82	25	04	03	17	58	02	53		25	14	13	18	2	6	2	-6	-5	-2	-27	-13	-20	1	-118								-6			-77	-79	-72	-76	-82	-85	-84	-91	-78	-83	-88	-71	-77	-55	-92								38			2	4	2	2	1	2	5	5	3	2	4	3	3	3	23								-18			6	-1	-1	0	2	-2	-3	8	-2	7	3	2	4	-1												81	80	73	78	82	85	84	91	78	83	92	72	80	55	150								38			162.00	170.00	169.80	166.70	178.60	176.00	178.60	183.80	183.70	181.40	197.10	190.40	194.60	179.00	232.10								351.00		
83	25	04	03	18	18	02	53		11	22	13	6	3	-3	-4	-10	-11	-14	-16	-23	-21	-27	121								-85			-84	-78	-86	-83	-82	-90	-93	-73	-80	-81	-82	-85	-74	-71	-135								68			1	0	1	2	0	1	3	0	2	1	1	1	3	1	-18								-32			2	-8	-4	0	10	0	-7	-4	0	1	-2	-5	-21	1												85	81	87	83	82	90	93	74	81	82	84	88	77	76	181								109			172.50	164.20	171.40	175.90	177.90	181.90	182.50	187.80	187.80	189.80	191.00	195.10	195.80	200.80	138.10								308.70		
84	25	04	03	18	38	02	53		0	3	4	1	8	-3	-11	-3	-10	-11	-13	-12	-11	-17	-175								-47			-97	-103	-96	-95	-97	-109	-105	-91	-97	-94	-93	-90	-90	-80	-24								9			3	1	3	2	5	3	4	4	3	4	5	3	3	5	-27								-7			-7	-4	3	1	2	-4	8	-9	2	3	0	-5	-5	-6												97	103	96	95	97	109	106	91	98	95	94	91	91	82	177								48			180.00	178.30	177.60	179.40	175.30	181.60	186.00	181.90	185.90	186.70	188.00	187.60	187.00	192.00	262.20								280.80		
