"Series Data"
"C:\Users\MarcosP\Desktop\DPL1_000.000"
"Broadband 614.4 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 25/04/02"
"First Ensemble Time = 14:58:02.53"
"Ensemble Interval (s) = "	1200.00
"1st Bin Range (m) = "	3.07
"Bin Size (m) ="	2.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"
8	25	04	02	17	18	02	53		-1	-11	-14	-12	-11	-16	-28	-13	-21	-29	-30	-46	-75										7	7		-80	-82	-82	-81	-81	-79	-80	-87	-77	-86	-77	-80	-93										66	30		3	1	2	2	2	4	0	4	6	3	2	-1	2										-19	6		-2	-9	11	5	-6	-6	1	0	2	3	-5	-6														80	83	83	82	82	81	85	88	80	91	83	92	119										66	31		180.70	187.60	189.70	188.40	187.70	191.40	199.30	188.50	195.30	198.60	201.30	209.90	218.90										6.10	13.10	
9	25	04	02	17	38	02	53		-18	-13	-21	-24	-17	-21	-29	-25	-30	-35	-39	-37	-77										-22			-85	-82	-86	-89	-85	-85	-78	-78	-97	-89	-100	-101	-107										50			3	3	3	3	4	4	4	5	3	6	3	1	5										-7			3	8	-4	2	-3	1	1	0	1	2	-9	-1	-74													87	83	89	92	87	88	83	82	102	96	107	108	132										55			192.00	189.00	193.70	195.10	191.30	193.90	200.40	197.80	197.20	201.50	201.30	200.10	215.70										336.30		
10	25	04	02	17	58	02	53		-17	-26	-26	-31	-25	-26	-19	-21	-33	-36	-29	-33	-67	-108									-53			-105	-103	-111	-96	-106	-113	-110	-117	-116	-116	-113	-130	-82	-128									61			3	5	8	6	5	7	10	7	6	4	0	-2	0	-21									-14			3	0	1	-3	-2	5	-3	11	14	-3	-2	1	-12													106	106	114	101	109	116	112	119	121	121	117	134	106	167									81			189.20	194.20	193.20	197.90	193.30	193.00	189.80	190.20	195.90	197.20	194.40	194.20	219.30	220.20									319.00		
11	25	04	02	18	18	02	53		-31	-23	-29	-33	-40	-36	-27	-26	-25	-30	-35	-17	-22	-22									-10			-102	-102	-100	-102	-106	-113	-114	-129	-134	-123	-120	-120	-140	101									5			2	3	3	4	5	6	3	3	3	5	3	4	-2	8									-5			1	2	1	6	-5	9	5	-2	-7	0	-12	-19	-50													107	105	104	107	113	119	117	132	136	127	125	121	142	103									11			196.90	192.70	196.20	197.90	200.70	197.70	193.30	191.40	190.60	193.70	196.30	188.10	188.90	347.70									296.60		
12	25	04	02	18	38	02	53		-30	-27	-40	-40	-34	-31	-33	-30	-27	-44	-30	-23	-29	-57									-55			-107	-107	-104	-120	-115	-131	-135	-136	-136	-130	-136	-125	-150	-157									77			3	3	4	6	5	4	7	5	4	4	4	0	0	0									-13			0	2	-6	3	0	-5	-4	0	-2	-14	5	3	-5													111	110	111	126	120	135	139	139	139	137	139	127	153	167									95			195.70	194.20	201.00	198.40	196.50	193.30	193.70	192.40	191.20	198.70	192.40	190.40	190.90	200.00									324.50		
13	25	04	02	18	58	02	53		-48	-45	-44	-42	-43	-28	-32	-40	-27	-23	-31	-14	-17	-70									-1			-107	-114	-122	-128	-127	-145	-143	-131	-134	-130	-129	-127	-147	-372									29			1	2	2	3	3	4	7	5	2	4	2	2	3	-62									2			-4	0	0	3	2	0	-1	2	-13	-4	0	-6	43													117	123	130	135	134	148	147	137	137	132	133	128	148	379									29			204.20	201.50	199.80	198.20	198.70	190.90	192.60	197.00	191.40	190.00	193.50	186.30	186.60	190.70									358.00		
14	25	04	02	19	18	02	53		-57	-51	-42	-44	-44	-42	-38	-29	-27	-32	-33	-32	-12	-34									-12			-91	-108	-103	-104	-109	-125	-135	-127	-132	-122	-130	-132	-117	-86									14			1	0	1	1	2	3	4	1	2	2	-2	0	4	-10									-8			-3	-2	-3	2	-4	-2	1	0	3	-4	-10	-2	4	87									-10			107	119	111	113	118	132	140	130	135	126	134	136	118	92									18			212.10	205.30	202.20	202.90	202.00	198.60	195.70	192.90	191.60	194.70	194.20	193.60	185.90	201.60									319.40		
15	25	04	02	19	38	02	53		-44	-40	-31	-37	-39	-33	-31	-36	-27	-17	-30	-41	-8	90									-17			-70	-85	-84	-88	-101	-101	-109	-109	-102	-108	-125	-108	-131	-53									56			1	0	1	1	2	1	2	2	2	4	2	3	1	-8									-9			1	0	-2	4	1	1	-8	-7	1	-1	-9	-7	-5										49			83	94	90	95	108	106	113	115	106	109	129	116	131	104									59			212.20	205.20	200.30	202.80	201.10	198.10	195.90	198.30	194.80	188.90	193.50	200.80	183.50	120.50									343.10		
16	25	04	02	19	58	02	53		-34	-46	-45	-39	-34	-26	-43	-37	-47	-38	-58	-47	-31	20									8			-36	-45	-49	-57	-59	-75	-74	-72	-71	-74	-88	-69	-71	-123									89			0	0	-1	1	0	0	0	0	1	3	1	0	2	4									-5			1	1	8	1	-7	1	-4	2	-6	5	0	7	-32										41			50	64	67	69	68	79	86	81	85	83	105	83	77	125									89			223.40	225.60	222.60	214.40	210.00	199.10	210.20	207.20	213.50	207.20	213.40	214.30	203.60	170.80									5.10		
17	25	04	02	20	18	02	53		-28	-42	-35	-36	-35	-40	-47	-35	-49	-23	-45	-42	-47										-17			-29	-30	-32	-32	-39	-46	-54	-53	-56	-56	-55	-69	-80										36			1	-1	0	0	0	0	1	0	1	-3	-1	0	-2										-6			4	-1	4	8	1	6	-2	3	-3	-1	-4	-12	-26										-67			40	52	47	48	52	61	72	64	74	61	71	81	93										40			224.00	234.50	227.60	228.40	221.90	221.00	221.00	213.40	221.20	202.30	219.30	211.30	210.40										334.70		
18	25	04	02	20	38	02	53		-23	-32	-27	-28	-33	-35	-36	-42	-31	-41	-42	-23	-56										-18			-10	-15	-18	-19	-15	-23	-37	-31	-36	-33	-43	-47	-60										3			1	2	1	1	0	0	1	0	1	-1	-2	1	-4										-4			-4	9	2	2	2	5	5	5	-3	5	2	-4	-27										-101			25	35	32	34	36	42	52	52	48	53	60	52	82										18			246.50	244.90	236.30	235.80	245.60	236.70	224.20	233.60	220.70	231.20	224.30	206.10	223.00										279.50		
19	25	04	02	20	58	02	53		-22	-26	-21	-40	-27	-33	-31	-35	-36	-34	-34	-48	-96										-1			18	9	8	13	4	-5	-2	-6	-8	-17	-10	-13	3										73			-1	-1	-2	-1	0	1	-2	-2	-2	-1	-2	-2	1										-6			6	-3	-3	-2	3	6	3	0	-2	5	-2	10	-61										-16			28	28	22	42	27	33	31	36	37	38	35	50	96										73			309.30	289.10	290.90	288.00	278.40	261.40	266.30	260.30	257.50	243.40	253.60	254.80	271.80										359.20		
20	25	04	02	21	18	02	53		-15	-30	-33	-31	-32	-38	-36	-43	-34	-35	-28	-43	-28	-35									-11			25	30	22	27	23	24	11	7	15	-4	-2	-3	-20	-77									124			-2	1	-3	-3	-2	-3	-3	0	-3	-2	-3	-3	-2	8									-6			5	9	-1	-8	-4	-8	8	-3	-8	13	-1	1	-18										29			29	42	40	41	39	45	38	44	37	35	28	43	34	85									124			329.00	315.00	303.70	311.10	305.70	302.30	287.00	279.20	293.80	263.50	265.90	266.00	234.50	204.40									354.90		
21	25	04	02	21	38	02	53		-15	-24	-25	-26	-37	-32	-28	-39	-25	-36	-34	-28	-23	-24						189			-34			26	23	18	20	15	13	13	7	3	-1	-18	-17	-10	136						-96			80			-4	-2	-5	-5	-4	-3	-4	-3	-4	-3	-4	-8	-1	1						34			-9			7	-4	4	1	-2	-1	-18	1	0	-5	-1	-18	1										56			30	33	31	33	40	35	31	40	25	36	38	33	25	138						212			87			330.00	313.80	305.80	307.60	292.10	292.10	294.90	280.20	276.80	268.40	242.10	238.70	246.50	350.00						116.90			337.00		
22	25	04	02	21	58	02	53		-29	-19	-29	-31	-27	-21	-21	-27	-28	-26	-24	-40	-16	-9									-9			11	15	8	8	14	11	12	12	7	7	-3	-11	-18	-42									32			-1	0	-1	-1	-1	-4	-2	2	-1	-1	-4	0	-3	-6									-7			-1	-2	7	-5	1	-7	-3	-3	-12	-10	10	0	4										2			31	24	30	32	30	24	24	30	29	27	24	41	24	43									33			290.80	308.30	285.40	284.50	297.40	297.60	299.70	294.00	284.00	285.10	262.90	254.60	221.60	192.10									344.30		
23	25	04	02	22	18	02	53		-26	-29	-28	-29	-25	-21	-25	-22	-26	-20	-8	-18	-40	-2									-10			15	23	10	15	14	12	18	31	17	10	20	6	-6	71									10			-3	-5	-3	-2	-2	-3	-1	-2	-2	-2	-2	-2	-2	0									-4			-2	3	3	1	0	5	-3	-4	1	-1	-2	-9	-17	-39									-17			30	37	30	33	29	24	31	38	31	22	22	19	40	71									14			300.00	308.40	289.70	297.30	299.20	299.70	305.80	324.60	303.20	296.60	338.20	288.40	261.50	358.40									315.00		
24	25	04	02	22	38	02	53		-47	-32	-33	-28	-27	-31	-28	-23	-32	-17	-29	-25	-19	-2		-161							-2			18	22	15	19	16	18	20	16	26	20	12	3	5	-24		-26							17			2	1	1	1	1	1	2	0	0	-1	0	-1	-2	-10		24							3			-2	-1	1	3	-1	7	12	0	3	-11	-8	2	-18	-7									-51			50	39	36	34	31	36	34	28	41	26	31	25	20	24		163							17			291.00	304.50	294.40	304.20	300.70	300.10	305.50	304.80	309.10	319.60	292.50	276.80	284.70	184.80		260.80							353.30		
25	25	04	02	22	58	02	53		-39	-29	-26	-25	-28	-25	-32	-24	-29	-29	-39	-42	-25	35									17			9	17	21	16	23	27	18	19	24	20	5	1	5	-6									13			2	2	2	2	3	2	4	2	4	2	2	-1	-5	1									1			4	9	2	1	4	-6	-4	10	-8	-10	-13	-20	20	14												40	34	33	30	36	37	37	31	38	35	39	42	25	36									21			283.00	300.40	308.90	302.60	309.40	317.20	299.40	308.40	309.60	304.60	277.30	271.40	281.30	99.70									52.60		
26	25	04	02	23	18	02	53		-42	-33	-26	-27	-15	-19	-18	-26	-8	-12	-19	-12	-19	-44									-30			-2	1	-2	3	4	11	7	18	1	-3	14	-4	8	20									38			1	0	0	0	-1	0	-1	0	-3	0	-1	-3	-1	-4									-5			-2	-10	-2	0	3	1	1	0	4	2	4	-3	-1	-65												42	33	26	27	16	22	19	32	8	12	24	13	21	48									48			267.30	271.70	265.60	276.30	284.90	300.10	291.30	304.70	277.10	256.00	306.40	251.60	292.80	294.40									321.70		
27	25	04	02	23	38	02	53		-34	-32	-38	-32	-24	-22	-16	-20	-22	-30	-30	-15	0	-49	93								-34			6	6	16	17	11	24	18	25	17	15	22	15	10	-1	13								67			1	-1	0	-1	0	0	-3	-4	-1	-1	-3	1	-4	-9	14								-15			-5	1	8	2	-2	1	2	-1	-5	1	-10	3	-23	63												35	33	41	36	26	33	24	32	28	34	37	21	10	49	94								75			280.00	280.60	292.80	298.00	294.60	317.50	318.40	321.30	307.70	296.60	306.30	315.00	0.00	268.80	82.00								333.10		
