Number;Date-Time;Temp(°C);Depth(m);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
1;02.04.2025 09:00:00;15,57;-0,76;0,01;0,00;1467,18
2;02.04.2025 09:20:00;14,05;-0,94;0,01;0,02;1461,79
3;02.04.2025 09:40:00;13,43;-0,76;0,01;0,00;1459,54
4;02.04.2025 10:00:00;12,09;-0,76;0,01;0,00;1454,55
5;02.04.2025 10:20:00;11,80;-0,76;0,01;0,00;1453,48
6;02.04.2025 10:40:00;3,01;-0,94;0,08;0,10;1416,59
7;02.04.2025 11:00:00;-8,41;-1,11;0,08;0,07;1356,65
8;02.04.2025 11:20:00;-10,54;-1,29;0,12;0,10;1343,89
9;02.04.2025 11:40:00;-2,50;29,67;24,06;19,12;1422,69
10;02.04.2025 12:00:00;-2,29;29,72;28,59;22,55;1429,94
11;02.04.2025 12:20:00;-2,12;29,76;34,02;26,55;1438,15
12;02.04.2025 12:40:00;-1,99;29,79;36,50;28,42;1442,15
13;02.04.2025 13:00:00;-1,86;29,82;35,34;27,71;1441,18
14;02.04.2025 13:20:00;-1,86;29,82;34,96;27,44;1440,67
15;02.04.2025 13:40:00;-1,86;29,82;34,81;27,33;1440,46
16;02.04.2025 14:00:00;-1,86;29,82;34,81;27,33;1440,46
17;02.04.2025 14:20:00;-1,86;29,82;34,70;27,25;1440,31
18;02.04.2025 14:40:00;-1,86;29,64;34,63;27,20;1440,21
19;02.04.2025 15:00:00;-1,86;29,64;34,55;27,15;1440,11
20;02.04.2025 15:20:00;-1,86;29,82;34,52;27,12;1440,06
21;02.04.2025 15:40:00;-1,86;29,82;34,52;27,12;1440,06
22;02.04.2025 16:00:00;-1,86;29,64;34,52;27,12;1440,06
23;02.04.2025 16:20:00;-1,86;29,64;34,52;27,12;1440,06
24;02.04.2025 16:40:00;-1,86;29,64;34,52;27,12;1440,06
25;02.04.2025 17:00:00;-1,86;29,47;34,52;27,12;1440,05
26;02.04.2025 17:20:00;-1,82;29,48;34,47;27,12;1440,19
27;02.04.2025 17:40:00;-1,82;29,48;34,47;27,12;1440,19
28;02.04.2025 18:00:00;-1,82;29,65;34,51;27,15;1440,24
29;02.04.2025 18:20:00;-1,82;29,65;34,51;27,15;1440,24
30;02.04.2025 18:40:00;-1,82;29,48;34,51;27,15;1440,24
31;02.04.2025 19:00:00;-1,82;29,65;34,51;27,15;1440,24
32;02.04.2025 19:20:00;-1,82;29,65;34,51;27,15;1440,24
33;02.04.2025 19:40:00;-1,82;29,48;34,51;27,15;1440,24
34;02.04.2025 20:00:00;-1,82;29,65;34,51;27,15;1440,24
35;02.04.2025 20:20:00;-1,78;29,66;34,46;27,15;1440,38
36;02.04.2025 20:40:00;-1,82;29,65;34,51;27,15;1440,24
37;02.04.2025 21:00:00;-1,82;29,65;34,51;27,15;1440,24
38;02.04.2025 21:20:00;-1,82;29,65;34,51;27,15;1440,24
39;02.04.2025 21:40:00;-1,82;29,65;34,51;27,15;1440,24
40;02.04.2025 22:00:00;-1,82;29,48;34,51;27,15;1440,24
41;02.04.2025 22:20:00;-1,82;29,65;34,51;27,15;1440,24
42;02.04.2025 22:40:00;-1,82;29,65;34,47;27,12;1440,19
43;02.04.2025 23:00:00;-1,82;29,65;34,51;27,15;1440,24
44;02.04.2025 23:20:00;-1,82;29,65;34,51;27,15;1440,24
45;02.04.2025 23:40:00;-1,78;29,84;34,46;27,15;1440,38
46;03.04.2025 00:00:00;-1,78;29,66;34,46;27,15;1440,38
47;03.04.2025 00:20:00;-1,78;29,66;34,46;27,15;1440,38
48;03.04.2025 00:40:00;-1,78;29,66;34,46;27,15;1440,38
49;03.04.2025 01:00:00;-1,78;29,66;34,46;27,15;1440,38
50;03.04.2025 01:20:00;-1,82;29,65;34,51;27,15;1440,24
51;03.04.2025 01:40:00;-1,82;29,65;34,51;27,15;1440,24
52;03.04.2025 02:00:00;-1,82;29,65;34,47;27,12;1440,19
53;03.04.2025 02:20:00;-1,82;29,65;34,47;27,12;1440,19
54;03.04.2025 02:40:00;-1,82;29,65;34,51;27,15;1440,24
55;03.04.2025 03:00:00;-1,82;29,65;34,51;27,15;1440,24
56;03.04.2025 03:20:00;-1,82;29,65;34,51;27,15;1440,24
57;03.04.2025 03:40:00;-1,82;29,65;34,47;27,12;1440,19
58;03.04.2025 04:00:00;-1,82;29,65;34,47;27,12;1440,19
59;03.04.2025 04:20:00;-1,82;29,65;34,47;27,12;1440,19
60;03.04.2025 04:40:00;-1,82;29,65;34,47;27,12;1440,19
61;03.04.2025 05:00:00;-1,82;29,65;34,47;27,12;1440,19
62;03.04.2025 05:20:00;-1,82;29,65;34,51;27,15;1440,24
63;03.04.2025 05:40:00;-1,82;29,65;34,47;27,12;1440,19
64;03.04.2025 06:00:00;-1,82;29,48;34,47;27,12;1440,19
65;03.04.2025 06:20:00;-1,82;29,65;34,47;27,12;1440,19
66;03.04.2025 06:40:00;-1,82;29,48;34,47;27,12;1440,19
67;03.04.2025 07:00:00;-1,82;29,65;34,47;27,12;1440,19
68;03.04.2025 07:20:00;-1,86;29,64;34,52;27,12;1440,06
69;03.04.2025 07:40:00;-1,82;29,65;34,47;27,12;1440,19
70;03.04.2025 08:00:00;-1,86;29,82;34,52;27,12;1440,06
71;03.04.2025 08:20:00;-1,86;29,47;34,52;27,12;1440,05
72;03.04.2025 08:40:00;-1,78;29,66;34,46;27,15;1440,38
73;03.04.2025 09:00:00;-1,82;29,48;34,51;27,15;1440,24
74;03.04.2025 09:20:00;-1,82;29,48;34,51;27,15;1440,24
75;03.04.2025 09:40:00;-1,82;29,48;34,51;27,15;1440,24
76;03.04.2025 10:00:00;-1,82;29,65;34,47;27,12;1440,19
77;03.04.2025 10:20:00;-1,82;29,48;34,51;27,15;1440,24
78;03.04.2025 10:40:00;-1,82;29,65;34,47;27,12;1440,19
79;03.04.2025 11:00:00;-1,82;29,48;34,47;27,12;1440,19
80;03.04.2025 11:20:00;-1,86;29,64;34,52;27,12;1440,06
81;03.04.2025 11:40:00;-1,86;29,47;34,52;27,12;1440,05
82;03.04.2025 12:00:00;-1,86;29,64;34,52;27,12;1440,06
83;03.04.2025 12:20:00;-1,86;29,64;34,52;27,12;1440,06
84;03.04.2025 12:40:00;-1,86;29,47;34,52;27,12;1440,05
85;03.04.2025 13:00:00;-1,86;29,47;34,52;27,12;1440,05
86;03.04.2025 13:20:00;-1,86;29,47;34,52;27,12;1440,05
87;03.04.2025 13:40:00;-1,86;29,47;34,52;27,12;1440,05
88;03.04.2025 14:00:00;-1,86;29,47;34,52;27,12;1440,05
89;03.04.2025 14:20:00;-1,86;29,47;34,52;27,12;1440,05
90;03.04.2025 14:40:00;-1,86;29,47;34,48;27,09;1440,00
91;03.04.2025 15:00:00;-1,86;29,64;34,52;27,12;1440,06
92;03.04.2025 15:20:00;-1,86;29,64;34,52;27,12;1440,06
93;03.04.2025 15:40:00;-1,86;29,82;34,52;27,12;1440,06
94;03.04.2025 16:00:00;-1,86;29,64;34,52;27,12;1440,06
95;03.04.2025 16:20:00;-1,86;29,64;34,52;27,12;1440,06
96;03.04.2025 16:40:00;-1,86;29,47;34,48;27,09;1440,00
97;03.04.2025 17:00:00;-1,86;29,64;34,52;27,12;1440,06
98;03.04.2025 17:20:00;-1,86;29,64;34,52;27,12;1440,06
99;03.04.2025 17:40:00;-1,86;29,82;34,48;27,09;1440,01
100;03.04.2025 18:00:00;-1,86;29,64;34,48;27,09;1440,00
101;03.04.2025 18:20:00;-1,86;29,64;34,48;27,09;1440,00
102;03.04.2025 18:40:00;-1,86;29,64;34,48;27,09;1440,00
103;03.04.2025 19:00:00;-1,86;29,64;34,52;27,12;1440,06
104;03.04.2025 19:20:00;-1,86;29,64;34,52;27,12;1440,06
105;03.04.2025 19:40:00;-1,86;29,64;34,48;27,09;1440,00
106;03.04.2025 20:00:00;-1,86;29,64;34,48;27,09;1440,00
107;03.04.2025 20:20:00;-1,86;29,64;34,52;27,12;1440,06
108;03.04.2025 20:40:00;-1,82;29,65;34,47;27,12;1440,19
109;03.04.2025 21:00:00;-1,86;29,64;34,52;27,12;1440,06
110;03.04.2025 21:20:00;-1,86;29,82;34,52;27,12;1440,06
111;03.04.2025 21:40:00;-1,86;29,64;34,52;27,12;1440,06
112;03.04.2025 22:00:00;-1,86;29,64;34,52;27,12;1440,06
113;03.04.2025 22:20:00;-1,86;29,64;34,52;27,12;1440,06
114;03.04.2025 22:40:00;-1,86;29,64;34,52;27,12;1440,06
115;03.04.2025 23:00:00;-1,86;29,64;34,52;27,12;1440,06
116;03.04.2025 23:20:00;-1,86;29,64;34,52;27,12;1440,06
117;03.04.2025 23:40:00;-1,86;29,47;34,52;27,12;1440,05
118;04.04.2025 00:00:00;-1,86;29,64;34,52;27,12;1440,06
119;04.04.2025 00:20:00;-1,86;29,64;34,52;27,12;1440,06
120;04.04.2025 00:40:00;-1,86;29,64;34,52;27,12;1440,06
121;04.04.2025 01:00:00;-1,82;29,65;34,51;27,15;1440,24
122;04.04.2025 01:20:00;-1,82;29,65;34,51;27,15;1440,24
123;04.04.2025 01:40:00;-1,82;29,65;34,51;27,15;1440,24
124;04.04.2025 02:00:00;-1,82;29,65;34,51;27,15;1440,24
125;04.04.2025 02:20:00;-1,86;29,64;34,52;27,12;1440,06
126;04.04.2025 02:40:00;-1,86;29,64;34,52;27,12;1440,06
127;04.04.2025 03:00:00;-1,86;29,64;34,55;27,15;1440,11
128;04.04.2025 03:20:00;-1,86;29,64;34,52;27,12;1440,06
129;04.04.2025 03:40:00;-1,86;29,64;34,52;27,12;1440,06
130;04.04.2025 04:00:00;-1,86;29,47;34,52;27,12;1440,05
131;04.04.2025 04:20:00;-1,86;29,64;34,52;27,12;1440,06
132;04.04.2025 04:40:00;-1,86;29,64;34,55;27,15;1440,11
133;04.04.2025 05:00:00;-1,86;29,64;34,55;27,15;1440,11
134;04.04.2025 05:20:00;-1,82;29,65;34,50;27,15;1440,24
135;04.04.2025 05:40:00;-1,82;29,48;34,51;27,15;1440,24
136;04.04.2025 06:00:00;-1,82;29,65;34,51;27,15;1440,24
137;04.04.2025 06:20:00;-1,86;29,64;34,52;27,12;1440,06
