Number;Date-Time;Temp(°C);Depth(m);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
138;04.04.2025 06:40:00;-1,82;29,65;34,50;27,15;1440,24
139;04.04.2025 07:00:00;-1,82;29,83;34,47;27,12;1440,20
140;04.04.2025 07:20:00;-1,82;29,65;34,51;27,15;1440,24
141;04.04.2025 07:40:00;-1,82;29,65;34,51;27,15;1440,24
142;04.04.2025 08:00:00;-1,82;29,65;34,51;27,15;1440,24
143;04.04.2025 08:20:00;-1,82;29,65;34,51;27,15;1440,24
144;04.04.2025 08:40:00;-1,82;29,65;34,51;27,15;1440,24
145;04.04.2025 09:00:00;-1,82;29,65;34,51;27,15;1440,24
146;04.04.2025 09:20:00;-1,82;29,65;34,51;27,15;1440,24
147;04.04.2025 09:40:00;-1,82;29,83;34,51;27,15;1440,25
148;04.04.2025 10:00:00;-1,82;29,65;34,51;27,15;1440,24
149;04.04.2025 10:20:00;-1,82;29,65;34,54;27,17;1440,29
150;04.04.2025 10:40:00;-1,82;29,65;34,51;27,15;1440,24
151;04.04.2025 11:00:00;-1,82;29,65;34,51;27,15;1440,24
152;04.04.2025 11:20:00;-1,82;29,65;34,51;27,15;1440,24
153;04.04.2025 11:40:00;-1,82;29,65;34,51;27,15;1440,24
154;04.04.2025 12:00:00;-1,82;29,65;34,51;27,15;1440,24
155;04.04.2025 12:20:00;-1,82;29,65;34,51;27,15;1440,24
156;04.04.2025 12:40:00;-1,82;29,48;34,51;27,15;1440,24
157;04.04.2025 13:00:00;-1,82;29,48;34,51;27,15;1440,24
158;04.04.2025 13:20:00;-1,82;29,65;34,51;27,15;1440,24
159;04.04.2025 13:40:00;-1,82;29,48;34,51;27,15;1440,24
160;04.04.2025 14:00:00;-1,82;29,83;34,51;27,15;1440,25
161;04.04.2025 14:20:00;-1,82;29,65;34,47;27,12;1440,19
162;04.04.2025 14:40:00;-1,82;29,83;34,51;27,15;1440,25
163;04.04.2025 15:00:00;-1,82;29,65;34,51;27,15;1440,24
164;04.04.2025 15:20:00;-1,82;29,65;34,47;27,12;1440,19
165;04.04.2025 15:40:00;-1,82;29,83;34,47;27,12;1440,20
166;04.04.2025 16:00:00;-1,82;29,65;34,51;27,15;1440,24
167;04.04.2025 16:20:00;-1,82;29,83;34,51;27,15;1440,25
168;04.04.2025 16:40:00;-1,82;29,65;34,51;27,15;1440,24
169;04.04.2025 17:00:00;-1,82;29,65;34,51;27,15;1440,24
170;04.04.2025 17:20:00;-1,82;29,65;34,51;27,15;1440,24
171;04.04.2025 17:40:00;-1,82;29,65;34,51;27,15;1440,24
172;04.04.2025 18:00:00;-1,82;29,65;34,47;27,12;1440,19
173;04.04.2025 18:20:00;-1,82;29,65;34,47;27,12;1440,19
174;04.04.2025 18:40:00;-1,86;29,64;34,52;27,12;1440,06
175;04.04.2025 19:00:00;-1,86;29,64;34,52;27,12;1440,06
176;04.04.2025 19:20:00;-1,82;29,83;34,47;27,12;1440,19
177;04.04.2025 19:40:00;-1,82;29,48;34,51;27,15;1440,24
178;04.04.2025 20:00:00;-1,82;29,65;34,47;27,12;1440,19
179;04.04.2025 20:20:00;-1,86;29,64;34,52;27,12;1440,06
180;04.04.2025 20:40:00;-1,82;29,65;34,47;27,12;1440,19
181;04.04.2025 21:00:00;-1,86;29,64;34,52;27,12;1440,06
182;04.04.2025 21:20:00;-1,82;29,65;34,47;27,12;1440,19
183;04.04.2025 21:40:00;-1,86;29,64;34,52;27,12;1440,06
184;04.04.2025 22:00:00;-1,82;29,65;34,47;27,12;1440,19
185;04.04.2025 22:20:00;-1,82;29,65;34,51;27,15;1440,24
186;04.04.2025 22:40:00;-1,82;29,65;34,51;27,15;1440,24
187;04.04.2025 23:00:00;-1,86;29,82;34,55;27,15;1440,11
188;04.04.2025 23:20:00;-1,82;29,65;34,50;27,15;1440,24
189;04.04.2025 23:40:00;-1,82;29,65;34,51;27,15;1440,24
190;05.04.2025 00:00:00;-1,82;29,65;34,51;27,15;1440,24
191;05.04.2025 00:20:00;-1,82;29,65;34,51;27,15;1440,24
192;05.04.2025 00:40:00;-1,82;29,65;34,54;27,17;1440,29
193;05.04.2025 01:00:00;-1,82;29,83;34,51;27,15;1440,25
194;05.04.2025 01:20:00;-1,82;29,48;34,51;27,15;1440,24
195;05.04.2025 01:40:00;-1,82;29,48;34,54;27,17;1440,29
196;05.04.2025 02:00:00;-1,82;29,65;34,54;27,17;1440,29
197;05.04.2025 02:20:00;-1,82;29,48;34,51;27,15;1440,24
198;05.04.2025 02:40:00;-1,82;29,65;34,51;27,15;1440,24
199;05.04.2025 03:00:00;-1,82;29,65;34,47;27,12;1440,19
200;05.04.2025 03:20:00;-1,82;29,65;34,51;27,15;1440,24
201;05.04.2025 03:40:00;-1,82;29,48;34,51;27,15;1440,24
202;05.04.2025 04:00:00;-1,82;29,65;34,51;27,15;1440,24
203;05.04.2025 04:20:00;-1,82;29,65;34,51;27,15;1440,24
204;05.04.2025 04:40:00;-1,82;29,65;34,47;27,12;1440,19
205;05.04.2025 05:00:00;-1,82;29,48;34,47;27,12;1440,19
206;05.04.2025 05:20:00;-1,82;29,48;34,51;27,15;1440,24
207;05.04.2025 05:40:00;-1,82;29,65;34,51;27,15;1440,24
208;05.04.2025 06:00:00;-1,82;29,48;34,51;27,15;1440,24
209;05.04.2025 06:20:00;-1,82;29,65;34,47;27,12;1440,19
210;05.04.2025 06:40:00;-1,86;29,64;34,52;27,12;1440,06
211;05.04.2025 07:00:00;-1,86;29,47;34,52;27,12;1440,05
212;05.04.2025 07:20:00;-1,82;29,65;34,50;27,15;1440,24
213;05.04.2025 07:40:00;-1,82;29,65;34,51;27,15;1440,24
214;05.04.2025 08:00:00;-1,82;29,48;34,51;27,15;1440,24
215;05.04.2025 08:20:00;-1,82;29,65;34,51;27,15;1440,24
216;05.04.2025 08:40:00;-1,82;29,65;34,54;27,17;1440,29
217;05.04.2025 09:00:00;-1,78;29,66;34,49;27,17;1440,43
218;05.04.2025 09:20:00;-1,82;29,65;34,54;27,17;1440,29
219;05.04.2025 09:40:00;-1,82;29,65;34,51;27,15;1440,24
220;05.04.2025 10:00:00;-1,82;29,65;34,51;27,15;1440,24
221;05.04.2025 10:20:00;-1,82;29,65;34,51;27,15;1440,24
222;05.04.2025 10:40:00;-1,82;29,65;34,51;27,15;1440,24
223;05.04.2025 11:00:00;-3,11;-1,11;0,00;0,00;1386,15
224;05.04.2025 11:20:00;-9,43;-1,64;0,05;0,04;1350,50
225;05.04.2025 11:40:00;-10,64;-1,82;0,12;0,10;1343,22
226;05.04.2025 12:00:00;-1,32;-1,46;1,48;1,46;1397,43
