Number;Date-Time;Temp(°C);Depth(m);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
1;02.04.2025 09:00:00;15,32;0,61;0,01;0,00;1466,33
2;02.04.2025 09:20:00;13,72;0,61;0,01;0,00;1460,63
3;02.04.2025 09:40:00;13,16;0,61;0,01;0,00;1458,58
4;02.04.2025 10:00:00;11,77;0,61;0,01;0,00;1453,38
5;02.04.2025 10:20:00;11,55;0,43;0,01;0,00;1452,52
6;02.04.2025 10:40:00;2,74;0,98;0,04;0,06;1415,28
7;02.04.2025 11:00:00;-9,26;-0,84;0,45;0,35;1352,12
8;02.04.2025 11:20:00;-10,02;-1,38;0,50;0,39;1347,59
9;02.04.2025 11:40:00;-2,36;0,43;27,47;21,67;1427,58
10;02.04.2025 12:00:00;-2,14;0,43;33,24;25,97;1436,49
11;02.04.2025 12:20:00;-1,97;0,43;35,44;27,67;1440,29
12;02.04.2025 12:40:00;-1,89;0,61;34,53;27,09;1439,46
13;02.04.2025 13:00:00;-1,89;0,61;34,71;27,22;1439,71
14;02.04.2025 13:20:00;-1,85;0,43;34,66;27,22;1439,84
15;02.04.2025 13:40:00;-1,85;0,43;34,62;27,19;1439,78
16;02.04.2025 14:00:00;-1,85;0,61;34,61;27,19;1439,78
17;02.04.2025 14:20:00;-1,81;0,61;34,57;27,19;1439,92
18;02.04.2025 14:40:00;-1,81;0,61;34,57;27,19;1439,92
19;02.04.2025 15:00:00;-1,81;0,43;34,57;27,19;1439,92
20;02.04.2025 15:20:00;-1,81;0,43;34,57;27,19;1439,92
21;02.04.2025 15:40:00;-1,81;0,61;34,57;27,19;1439,92
22;02.04.2025 16:00:00;-1,81;0,43;34,61;27,22;1439,98
23;02.04.2025 16:20:00;-1,76;0,61;34,56;27,22;1440,11
24;02.04.2025 16:40:00;-1,76;0,43;34,56;27,22;1440,11
25;02.04.2025 17:00:00;-1,76;0,43;34,56;27,22;1440,11
26;02.04.2025 17:20:00;-1,76;0,43;34,56;27,22;1440,11
27;02.04.2025 17:40:00;-1,76;0,43;34,61;27,25;1440,17
28;02.04.2025 18:00:00;-1,76;0,43;34,56;27,22;1440,11
29;02.04.2025 18:20:00;-1,76;0,43;34,61;27,25;1440,17
30;02.04.2025 18:40:00;-1,76;0,43;34,61;27,25;1440,17
31;02.04.2025 19:00:00;-1,76;0,61;34,61;27,25;1440,18
32;02.04.2025 19:20:00;-1,76;0,61;34,56;27,22;1440,11
33;02.04.2025 19:40:00;-1,76;0,43;34,61;27,25;1440,17
34;02.04.2025 20:00:00;-1,76;0,61;34,61;27,25;1440,18
35;02.04.2025 20:20:00;-1,72;0,43;34,56;27,25;1440,31
36;02.04.2025 20:40:00;-1,72;0,61;34,56;27,25;1440,31
37;02.04.2025 21:00:00;-1,72;0,43;34,56;27,25;1440,31
38;02.04.2025 21:20:00;-1,76;0,43;34,61;27,25;1440,17
39;02.04.2025 21:40:00;-1,72;0,61;34,56;27,25;1440,31
40;02.04.2025 22:00:00;-1,72;0,61;34,56;27,25;1440,31
41;02.04.2025 22:20:00;-1,72;0,43;34,56;27,25;1440,31
42;02.04.2025 22:40:00;-1,72;0,61;34,56;27,25;1440,31
43;02.04.2025 23:00:00;-1,72;0,61;34,56;27,25;1440,31
44;02.04.2025 23:20:00;-1,76;0,43;34,61;27,25;1440,17
45;02.04.2025 23:40:00;-1,76;0,61;34,56;27,22;1440,11
46;03.04.2025 00:00:00;-1,76;0,43;34,56;27,22;1440,11
47;03.04.2025 00:20:00;-1,81;0,61;34,61;27,22;1439,98
48;03.04.2025 00:40:00;-1,81;0,43;34,61;27,22;1439,98
49;03.04.2025 01:00:00;-1,76;0,61;34,56;27,22;1440,11
