Number;Date-Time;Temp(°C);Depth(m);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
50;03.04.2025 01:20:00;-1,81;0,61;34,61;27,22;1439,98
51;03.04.2025 01:40:00;-1,81;0,43;34,61;27,22;1439,98
52;03.04.2025 02:00:00;-1,76;0,61;34,56;27,22;1440,11
53;03.04.2025 02:20:00;-1,76;0,61;34,56;27,22;1440,11
54;03.04.2025 02:40:00;-1,76;0,61;34,56;27,22;1440,11
55;03.04.2025 03:00:00;-1,81;0,43;34,61;27,22;1439,98
56;03.04.2025 03:20:00;-1,76;0,43;34,56;27,22;1440,11
57;03.04.2025 03:40:00;-1,81;0,43;34,61;27,22;1439,98
58;03.04.2025 04:00:00;-1,81;0,43;34,57;27,19;1439,92
59;03.04.2025 04:20:00;-1,81;0,61;34,61;27,22;1439,98
60;03.04.2025 04:40:00;-1,81;0,61;34,61;27,22;1439,98
61;03.04.2025 05:00:00;-1,81;0,43;34,57;27,19;1439,92
62;03.04.2025 05:20:00;-1,81;0,61;34,57;27,19;1439,92
63;03.04.2025 05:40:00;-1,81;0,25;34,57;27,19;1439,91
64;03.04.2025 06:00:00;-1,81;0,43;34,57;27,19;1439,92
65;03.04.2025 06:20:00;-1,81;0,43;34,57;27,19;1439,92
66;03.04.2025 06:40:00;-1,81;0,43;34,57;27,19;1439,92
67;03.04.2025 07:00:00;-1,81;0,43;34,57;27,19;1439,92
68;03.04.2025 07:20:00;-1,81;0,43;34,61;27,22;1439,98
69;03.04.2025 07:40:00;-1,76;0,25;34,56;27,22;1440,11
70;03.04.2025 08:00:00;-1,76;0,43;34,56;27,22;1440,11
71;03.04.2025 08:20:00;-1,76;0,61;34,56;27,22;1440,11
72;03.04.2025 08:40:00;-1,76;0,43;34,56;27,22;1440,11
73;03.04.2025 09:00:00;-1,76;0,43;34,56;27,22;1440,11
74;03.04.2025 09:20:00;-1,76;0,61;34,56;27,22;1440,11
75;03.04.2025 09:40:00;-1,76;0,43;34,56;27,22;1440,11
76;03.04.2025 10:00:00;-1,76;0,61;34,56;27,22;1440,11
77;03.04.2025 10:20:00;-1,76;0,43;34,56;27,22;1440,11
78;03.04.2025 10:40:00;-1,76;0,43;34,56;27,22;1440,11
79;03.04.2025 11:00:00;-1,76;0,43;34,56;27,22;1440,11
80;03.04.2025 11:20:00;-1,76;0,43;34,56;27,22;1440,11
81;03.04.2025 11:40:00;-1,81;0,43;34,61;27,22;1439,98
82;03.04.2025 12:00:00;-1,76;0,43;34,56;27,22;1440,11
83;03.04.2025 12:20:00;-1,81;0,43;34,61;27,22;1439,98
84;03.04.2025 12:40:00;-1,81;0,43;34,57;27,19;1439,92
85;03.04.2025 13:00:00;-1,81;0,61;34,57;27,19;1439,92
86;03.04.2025 13:20:00;-1,76;0,43;34,56;27,22;1440,11
87;03.04.2025 13:40:00;-1,76;0,43;34,56;27,22;1440,11
88;03.04.2025 14:00:00;-1,76;0,43;34,56;27,22;1440,11
89;03.04.2025 14:20:00;-1,81;0,43;34,61;27,22;1439,98
90;03.04.2025 14:40:00;-1,81;0,43;34,61;27,22;1439,98
91;03.04.2025 15:00:00;-1,81;0,43;34,57;27,19;1439,92
92;03.04.2025 15:20:00;-1,81;0,43;34,57;27,19;1439,92
93;03.04.2025 15:40:00;-1,81;0,25;34,57;27,19;1439,91
94;03.04.2025 16:00:00;-1,81;0,43;34,57;27,19;1439,92
95;03.04.2025 16:20:00;-1,81;0,43;34,57;27,19;1439,92
96;03.04.2025 16:40:00;-1,81;0,43;34,57;27,19;1439,92
97;03.04.2025 17:00:00;-1,85;0,43;34,62;27,19;1439,78
98;03.04.2025 17:20:00;-1,85;0,43;34,62;27,19;1439,78
99;03.04.2025 17:40:00;-1,81;0,43;34,57;27,19;1439,92
100;03.04.2025 18:00:00;-1,81;0,61;34,57;27,19;1439,92
101;03.04.2025 18:20:00;-1,81;0,43;34,57;27,19;1439,92
102;03.04.2025 18:40:00;-1,81;0,43;34,57;27,19;1439,92
103;03.04.2025 19:00:00;-1,81;0,43;34,57;27,19;1439,92
104;03.04.2025 19:20:00;-1,81;0,61;34,61;27,22;1439,98
105;03.04.2025 19:40:00;-1,81;0,43;34,57;27,19;1439,92
106;03.04.2025 20:00:00;-1,81;0,61;34,57;27,19;1439,92
107;03.04.2025 20:20:00;-1,81;0,43;34,57;27,19;1439,92
108;03.04.2025 20:40:00;-1,81;0,43;34,61;27,22;1439,98
109;03.04.2025 21:00:00;-1,81;0,43;34,61;27,22;1439,98
110;03.04.2025 21:20:00;-1,81;0,43;34,61;27,22;1439,98
111;03.04.2025 21:40:00;-1,81;0,43;34,61;27,22;1439,98
112;03.04.2025 22:00:00;-1,81;0,61;34,61;27,22;1439,98
113;03.04.2025 22:20:00;-1,81;0,61;34,61;27,22;1439,98
114;03.04.2025 22:40:00;-1,81;0,61;34,61;27,22;1439,98
115;03.04.2025 23:00:00;-1,81;0,43;34,61;27,22;1439,98
116;03.04.2025 23:20:00;-1,81;0,61;34,61;27,22;1439,98
117;03.04.2025 23:40:00;-1,76;0,61;34,56;27,22;1440,11
118;04.04.2025 00:00:00;-1,76;0,43;34,56;27,22;1440,11
119;04.04.2025 00:20:00;-1,81;0,43;34,61;27,22;1439,98
120;04.04.2025 00:40:00;-1,81;0,61;34,57;27,19;1439,92
121;04.04.2025 01:00:00;-1,81;0,43;34,61;27,22;1439,98
122;04.04.2025 01:20:00;-1,81;0,43;34,61;27,22;1439,98
123;04.04.2025 01:40:00;-1,81;0,61;34,61;27,22;1439,98
124;04.04.2025 02:00:00;-1,72;0,43;34,60;27,29;1440,37
125;04.04.2025 02:20:00;-1,72;0,43;34,56;27,25;1440,31
126;04.04.2025 02:40:00;-1,76;0,61;34,56;27,22;1440,11
127;04.04.2025 03:00:00;-1,76;0,61;34,61;27,25;1440,18
128;04.04.2025 03:20:00;-1,76;0,61;34,56;27,22;1440,11
129;04.04.2025 03:40:00;-1,76;0,43;34,56;27,22;1440,11
130;04.04.2025 04:00:00;-1,76;0,43;34,56;27,22;1440,11
131;04.04.2025 04:20:00;-1,76;0,61;34,61;27,25;1440,18
132;04.04.2025 04:40:00;-1,76;0,61;34,61;27,25;1440,18
133;04.04.2025 05:00:00;-1,76;0,43;34,61;27,25;1440,17
134;04.04.2025 05:20:00;-1,76;0,43;34,56;27,22;1440,11
135;04.04.2025 05:40:00;-1,76;0,43;34,61;27,25;1440,17
136;04.04.2025 06:00:00;-1,76;0,43;34,61;27,25;1440,17
137;04.04.2025 06:20:00;-1,76;0,61;34,61;27,25;1440,18
138;04.04.2025 06:40:00;-1,76;0,43;34,56;27,22;1440,11
139;04.04.2025 07:00:00;-1,76;0,43;34,56;27,22;1440,11
140;04.04.2025 07:20:00;-1,81;0,43;34,61;27,22;1439,98
141;04.04.2025 07:40:00;-1,81;0,43;34,61;27,22;1439,98
142;04.04.2025 08:00:00;-1,81;0,43;34,61;27,22;1439,98
143;04.04.2025 08:20:00;-1,81;0,43;34,61;27,22;1439,98
144;04.04.2025 08:40:00;-1,76;0,43;34,56;27,22;1440,11
145;04.04.2025 09:00:00;-1,81;0,43;34,61;27,22;1439,98
146;04.04.2025 09:20:00;-1,81;0,43;34,61;27,22;1439,98
147;04.04.2025 09:40:00;-1,81;0,43;34,61;27,22;1439,98
148;04.04.2025 10:00:00;-1,81;0,61;34,61;27,22;1439,98
149;04.04.2025 10:20:00;-1,81;0,43;34,61;27,22;1439,98
150;04.04.2025 10:40:00;-1,81;0,43;34,61;27,22;1439,98
151;04.04.2025 11:00:00;-1,81;0,61;34,61;27,22;1439,98
152;04.04.2025 11:20:00;-1,81;0,43;34,61;27,22;1439,98
153;04.04.2025 11:40:00;-1,81;0,43;34,61;27,22;1439,98
154;04.04.2025 12:00:00;-1,76;0,43;34,56;27,22;1440,11
155;04.04.2025 12:20:00;-1,76;0,61;34,56;27,22;1440,11
156;04.04.2025 12:40:00;-1,81;0,43;34,61;27,22;1439,98
157;04.04.2025 13:00:00;-1,81;0,43;34,61;27,22;1439,98
158;04.04.2025 13:20:00;-1,81;0,43;34,61;27,22;1439,98
159;04.04.2025 13:40:00;-1,76;0,43;34,56;27,22;1440,11
160;04.04.2025 14:00:00;-1,76;0,43;34,56;27,22;1440,11
161;04.04.2025 14:20:00;-1,76;0,43;34,56;27,22;1440,11
162;04.04.2025 14:40:00;-1,81;0,25;34,61;27,22;1439,97
163;04.04.2025 15:00:00;-1,76;0,43;34,56;27,22;1440,11
164;04.04.2025 15:20:00;-1,81;0,43;34,61;27,22;1439,98
165;04.04.2025 15:40:00;-1,81;0,43;34,61;27,22;1439,98
166;04.04.2025 16:00:00;-1,81;0,43;34,61;27,22;1439,98
167;04.04.2025 16:20:00;-1,81;0,43;34,61;27,22;1439,98
168;04.04.2025 16:40:00;-1,81;0,25;34,57;27,19;1439,91
169;04.04.2025 17:00:00;-1,81;0,43;34,61;27,22;1439,98
170;04.04.2025 17:20:00;-1,81;0,43;34,57;27,19;1439,92
171;04.04.2025 17:40:00;-1,81;0,43;34,57;27,19;1439,92
172;04.04.2025 18:00:00;-1,81;0,43;34,61;27,22;1439,98
173;04.04.2025 18:20:00;-1,81;0,43;34,57;27,19;1439,92
174;04.04.2025 18:40:00;-1,81;0,43;34,61;27,22;1439,98
175;04.04.2025 19:00:00;-1,81;0,43;34,61;27,22;1439,98
176;04.04.2025 19:20:00;-1,81;0,25;34,61;27,22;1439,97
177;04.04.2025 19:40:00;-1,81;0,43;34,61;27,22;1439,98
178;04.04.2025 20:00:00;-1,81;0,61;34,61;27,22;1439,98
179;04.04.2025 20:20:00;-1,81;0,43;34,61;27,22;1439,98
180;04.04.2025 20:40:00;-1,81;0,43;34,61;27,22;1439,98
181;04.04.2025 21:00:00;-1,81;0,43;34,61;27,22;1439,98
182;04.04.2025 21:20:00;-1,81;0,43;34,61;27,22;1439,98
183;04.04.2025 21:40:00;-1,81;0,43;34,61;27,22;1439,98
184;04.04.2025 22:00:00;-1,81;0,43;34,61;27,22;1439,98
185;04.04.2025 22:20:00;-1,81;0,43;34,61;27,22;1439,98
186;04.04.2025 22:40:00;-1,81;0,25;34,61;27,22;1439,97
187;04.04.2025 23:00:00;-1,76;0,43;34,56;27,22;1440,11
188;04.04.2025 23:20:00;-1,76;0,43;34,56;27,22;1440,11
189;04.04.2025 23:40:00;-1,76;0,43;34,56;27,22;1440,11
190;05.04.2025 00:00:00;-1,76;0,43;34,56;27,22;1440,11
191;05.04.2025 00:20:00;-1,76;0,25;34,56;27,22;1440,11
192;05.04.2025 00:40:00;-1,76;0,43;34,56;27,22;1440,11
193;05.04.2025 01:00:00;-1,76;0,43;34,56;27,22;1440,11
194;05.04.2025 01:20:00;-1,76;0,25;34,56;27,22;1440,11
195;05.04.2025 01:40:00;-1,76;0,43;34,56;27,22;1440,11
196;05.04.2025 02:00:00;-1,76;0,25;34,56;27,22;1440,11
197;05.04.2025 02:20:00;-1,76;0,25;34,56;27,22;1440,11
198;05.04.2025 02:40:00;-1,76;0,25;34,61;27,25;1440,17
199;05.04.2025 03:00:00;-1,72;0,43;34,56;27,25;1440,31
200;05.04.2025 03:20:00;-1,76;0,43;34,61;27,25;1440,17
201;05.04.2025 03:40:00;-1,76;0,43;34,61;27,25;1440,17
202;05.04.2025 04:00:00;-1,72;0,25;34,56;27,25;1440,30
203;05.04.2025 04:20:00;-1,76;0,25;34,56;27,22;1440,11
204;05.04.2025 04:40:00;-1,81;0,43;34,57;27,19;1439,92
205;05.04.2025 05:00:00;-1,81;0,43;34,61;27,22;1439,98
206;05.04.2025 05:20:00;-1,81;0,25;34,61;27,22;1439,97
207;05.04.2025 05:40:00;-1,81;0,43;34,57;27,19;1439,92
208;05.04.2025 06:00:00;-1,81;0,25;34,61;27,22;1439,97
209;05.04.2025 06:20:00;-1,81;0,25;34,61;27,22;1439,97
210;05.04.2025 06:40:00;-1,81;0,43;34,57;27,19;1439,92
211;05.04.2025 07:00:00;-1,81;0,43;34,61;27,22;1439,98
212;05.04.2025 07:20:00;-1,81;0,43;34,57;27,19;1439,92
213;05.04.2025 07:40:00;-1,81;0,25;34,57;27,19;1439,91
214;05.04.2025 08:00:00;-1,81;0,25;34,57;27,19;1439,91
215;05.04.2025 08:20:00;-1,81;0,25;34,57;27,19;1439,91
216;05.04.2025 08:40:00;-1,81;0,43;34,57;27,19;1439,92
217;05.04.2025 09:00:00;-1,81;0,25;34,57;27,19;1439,91
218;05.04.2025 09:20:00;-1,81;0,25;34,61;27,22;1439,97
219;05.04.2025 09:40:00;-1,81;0,25;34,57;27,19;1439,91
220;05.04.2025 10:00:00;-1,81;0,43;34,61;27,22;1439,98
221;05.04.2025 10:20:00;-1,81;0,25;34,61;27,22;1439,97
222;05.04.2025 10:40:00;-1,81;0,43;34,57;27,19;1439,92
223;05.04.2025 11:00:00;-5,87;-0,84;0,09;0,09;1371,25
224;05.04.2025 11:20:00;-10,23;-1,93;0,33;0,25;1346,07
225;05.04.2025 11:40:00;-10,75;-2,11;0,71;0,52;1343,42
226;05.04.2025 12:00:00;-0,64;-0,48;0,14;0,16;1399,03
